County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Raleigh County,7,7,7.24,7.24,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Summers County,7,7,7.24,7.24,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
McDowell County,7.23,7.23,7.77,7.77,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Mercer County,7.23,7.23,7.77,7.77,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Wyoming County,7.23,7.23,7.77,7.77,6.62,6.62,6.85,6.85,5.72,5.72,6.24,6.24,6.24
Drug Use sources:,,,,,,,,,,,,,
1999-2001: http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=9441D0B062B1AB82FF5FA3A1558508EB?doi=10.1.1.231.170&rep=rep1&type=pdf,,,,,,,,,,,,,
2002-2004: https://web.archive.org/web/20060816072445/https://oas.samhsa.gov/substate2k6/substate.pdf,,,,,,,,,,,,,
2004-2006: https://web.archive.org/web/20090324081746/https://oas.samhsa.gov/substate2k8/substate.pdf,,,,,,,,,,,,,
2006-2008: https://www.samhsa.gov/data/sites/default/files/Substate2k10-ChangeTables/ChangeTables/NSDUHsubstateChangeTabs2010.pdf,,,,,,,,,,,,,
2008-2010: https://www.samhsa.gov/data/sites/default/files/NSDUHsubstateChangeTabs2012/NSDUHsubstateChangeTabs2012.pdf,,,,,,,,,,,,,
2010-2012: https://www.samhsa.gov/data/sites/default/files/NSDUHsubstateTrendTabs/NSDUHsubstateTrendTabs2012.pdf,,,,,,,,,,,,,
2012-2014: https://www.samhsa.gov/data/sites/default/files/cbhsq-reports/NSDUHsubstateChangeTabs2014/NSDUHsubstateChangeTabs2014.pdf,,,,,,,,,,,,,
2014-2016: https://www.samhsa.gov/data/sites/default/files/cbhsq-reports/NSDUHsubstateChangeTabs2016/NSDUHsubstateChangeTabs2016.pdf,,,,,,,,,,,,,
https://www.washingtonpost.com/investigations/interactive/2023/opioid-epidemic-pain-pills-sold-oxycodone-hydrocodone/,,,,,,,,,,,,,
https://www.wboy.com/only-on-wboy-com/wboy-com-lists-and-rankings/counties-where-the-most-opioids-are-dispensed-in-west-virginia/,,,,,,,,,,,,,
