County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Pocahontas, WV",98.7,91.7,97.3,90.8,89.5,85.2,82.6,77.8,68.1,56.7,58.3,48.9,46.4,15.2,16.9
"Preston, WV",50.5,46.6,47.6,48.9,49.5,50.2,60.5,63.7,71.4,74,70.7,61.1,51.1,36.8,32.6
"Putnam, WV",91,93.8,104.6,114.6,120.9,116.9,117.2,113,121.2,106.6,95.5,79.9,66.6,48.1,49.4
"Raleigh, WV",184.3,195.8,208.7,205.3,190.3,196.4,208.5,185.8,164.6,144.6,104.6,80.5,66.3,64,56.5
"Randolph, WV",123.1,131.5,134.7,130.2,120.6,119,130.2,122.5,122.4,112.7,95.1,87.9,75.3,52.9,42.3
"Ritchie, WV",47.1,54,58.1,55.8,53.8,61,63,67.2,69.2,58.5,68,58.7,50.6,13.1,13.6
"Roane, WV",107,107.7,113.1,105.2,123.9,128.2,138.3,128.6,125.6,109.1,94.5,88.8,73.9,41.8,42.5
"Summers, WV",90.6,87,101.7,113.6,112.1,104.2,107.1,110.9,108.2,105.1,115.4,89.7,79.6,70.5,54.7
"Taylor, WV",89.3,93.9,94.4,90.7,95.6,97.2,88.5,87.9,89.2,80.9,69.8,59.1,51.6,27.4,24.9
"Tucker, WV",41.9,46.5,50.7,47.4,45.2,40.8,54.2,55.6,41.2,46.6,41.2,35.8,42.4,25.3,21.5
"Tyler, WV",63.1,66.5,25.2,28.5,0.6,–,–,4.5,63.1,55,51.6,45.2,38.2,16,11.6
"Upshur, WV",89.5,90.1,94.1,92,89.6,89.4,90,83.8,82.6,71.8,58,50.2,43.5,15.7,13.2
"Wayne, WV",92.7,91.4,90.2,102.4,99.2,91,77.6,78.6,82.5,76.1,67.5,62.2,60.3,12.4,10.9
"Webster, WV",97.8,108.5,109.3,109.8,108,110.1,98.8,74.9,76.6,69.3,61.3,52.2,49,124.8,118.2
"Wetzel, WV",104.9,125.9,142.8,136.5,148.3,133.1,130.3,125.9,118,108.1,95.5,86.3,66.3,35.3,33.2
"Wirt, WV",43,50.5,48.3,53.5,51.6,53.7,62.7,64.3,66.2,50.5,38.1,34.4,33.3,13.6,14.4
"Wood, WV",126.4,132.2,144.8,148.1,151.5,148,147.6,148.6,152.3,132.7,109.4,93.1,76.4,78.8,66.8
"Wyoming, WV",213.9,220.4,218.9,191.4,214.4,218.3,217.4,220.6,218.2,192.8,143.6,112.1,88.9,41.5,42.2
,,,,,,,,,,,,,,,
Drug Use sources:,,,,,,,,,,,,,,,
1999-2001: http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=9441D0B062B1AB82FF5FA3A1558508EB?doi=10.1.1.231.170&rep=rep1&type=pdf,,,,,,,,,,,,,,,
2002-2004: https://web.archive.org/web/20060816072445/https://oas.samhsa.gov/substate2k6/substate.pdf,,,,,,,,,,,,,,,
2004-2006: https://web.archive.org/web/20090324081746/https://oas.samhsa.gov/substate2k8/substate.pdf,,,,,,,,,,,,,,,
2006-2008: https://www.samhsa.gov/data/sites/default/files/Substate2k10-ChangeTables/ChangeTables/NSDUHsubstateChangeTabs2010.pdf,,,,,,,,,,,,,,,
2008-2010: https://www.samhsa.gov/data/sites/default/files/NSDUHsubstateChangeTabs2012/NSDUHsubstateChangeTabs2012.pdf,,,,,,,,,,,,,,,
2010-2012: https://www.samhsa.gov/data/sites/default/files/NSDUHsubstateTrendTabs/NSDUHsubstateTrendTabs2012.pdf,,,,,,,,,,,,,,,
2012-2014: https://www.samhsa.gov/data/sites/default/files/cbhsq-reports/NSDUHsubstateChangeTabs2014/NSDUHsubstateChangeTabs2014.pdf,,,,,,,,,,,,,,,
2014-2016: https://www.samhsa.gov/data/sites/default/files/cbhsq-reports/NSDUHsubstateChangeTabs2016/NSDUHsubstateChangeTabs2016.pdf,,,,,,,,,,,,,,,
https://www.washingtonpost.com/investigations/interactive/2023/opioid-epidemic-pain-pills-sold-oxycodone-hydrocodone/,,,,,,,,,,,,,,,
https://www.wboy.com/only-on-wboy-com/wboy-com-lists-and-rankings/counties-where-the-most-opioids-are-dispensed-in-west-virginia/,,,,,,,,,,,,,,,
https://www.cdc.gov/drugoverdose/rxrate-maps/county2007.html,,,,,,,,,,,,,,,
